Data, Hora, Municipio, Nro da Ocorrencia, Tipo de Via, Tipo Logradouro, Logradouro, KM, Natureza Ocorrencia, Tipo Ocorrencia, Historico, Teor Alcoolico, Falecimento Posterior, Ocorrencia Falecimento, Motorista Embriagado, Pedestre Embriagado, Veiculo Fugou, Motorista sem CNH
"18/12/2011","19:45","Viamão","12052","Municipal","Avenida","LIBERDADE","","Tombamento","Lesão De Trânsito","","","18/12/2011","1696","NÃO INF.","N","N","NÃO INF."
"03/02/2011","09:00","Viamão","1174","Estadual","Rodovia","RS 040","2","Colisão","Lesão Corporal Culposa","","","03/02/2011","1058","","","",""
"12/12/2011","20:15","Viamão","11465","Estadual","Rodovia","RS 118","33","Colisão Lateral","Lesão Corporal Seguida De Morte","","","","","NÃO INF.","NÃO INF.","N","NÃO INF."
"03/12/2011","04:15","Viamão","11137","Estadual","Rodovia","RS 040","28","Outro","Homicídio De Trânsito","","","","","NÃO INF.","NÃO INF.","N","NÃO INF."
"28/11/2011","07:30","Viamão","10910","Estadual","Rodovia","RS 118","","Atropelamento","Lesão De Trânsito","","","11/12/2011","1499","NÃO INF.","NÃO INF.","N","NÃO INF."
"09/11/2011","00:45","Viamão","10296","Estadual","Rodovia","RS 040","13","Choque Com Objeto Fixo","Lesão Corporal Seguida De Morte","","","","","NÃO INF.","N","N","NÃO INF."
"04/11/2011","22:00","Viamão","10158","Estadual","Rodovia","RS 040","","Atropelamento","Lesão De Trânsito","","","10/11/2011","1537","NÃO INF.","NÃO INF.","N","NÃO INF."
"30/01/2011","00:30","Viamão","1011","Municipal","Avenida","PARAISO","185","Não Informado","Homicídio De Trânsito","","","","","","","","S"
"05/09/2011","17:15","Vila Maria","319","Estadual","Rodovia","RS 324","68,3","Colisão","Homicídio De Trânsito","","","","","","","",""
"25/12/2011","08:30","Vista Alegre","218","Estadual","Rodovia","RS 472","10","Choque Com Objeto Fixo","Homicídio De Trânsito","","","25/12/2011","","NÃO INF.","N","N","NÃO INF."
"03/06/2011","23:50","Vista Alegre do Prata","1165","Municipal","Estrada","LINHA BENTO GONCALVES","","Atropelamento","Homicídio De Trânsito","","","06/06/2011","1139","","","",""
"24/08/2011","23:30","Vitória das Missões","526","Federal","Rodovia","BR 285","509,9","Colisão","Homicídio De Trânsito","","","","","","","",""
"07/08/2011","23:00","Vitória das Missões","484","Federal","Rodovia","BR 285","509,6","Capotagem","Homicídio De Trânsito","","","","","","","",""
"09/01/2011","18:00","Vitória das Missões","282","Federal","Rodovia","BR 285","511,8","Colisão","Homicídio De Trânsito","","","","","NÃO INF.","NÃO INF.","N","NÃO INF."
"22/04/2011","16:20","Westfália","4076","Estadual","Rodovia","RS 453","63","Colisão","Homicídio De Trânsito","","","22/04/2011","","","","",""
"01/11/2011","13:50","Westfália","2326","Estadual","Rodovia","RS 453","67","Choque Com Objeto Fixo","Homicídio De Trânsito","","","","","NÃO INF.","N","N","NÃO INF."
"12/11/2011","22:35","Xangri-lá","8903","Estadual","Rodovia","RS 407","12","Colisão Lateral","Homicídio De Trânsito","","","12/11/2011","","NÃO INF.","N","N","S"
"31/01/2011","19:10","Xangri-lá","586","Estadual","Rodovia","RS 389","30","Colisão","Homicídio De Trânsito","","","07/02/2011","1737","","","",""
"11/11/2011","19:00","Xangri-lá","3157 / 577562","Estadual","Rodovia","RS 389","23","Colisão Lateral","Homicídio De Trânsito","","","27/11/2011","1433","NÃO INF.","NÃO INF.","N","NÃO INF."
"04/11/2011","13:00","Xangri-lá","2963","Municipal","Rua","RIO IBICUI","","Não Informado","Homicídio De Trânsito","","","04/11/2011","","N","N","N","NÃO INF."
"31/08/2011","13:45","Xangri-lá","2532","Estadual","Rodovia","RS 407","9","Capotagem","Homicídio De Trânsito","","","","","","","",""
"27/04/2011","16:00","Xangri-lá","1759","Estadual","Rodovia","RS 389","25","Colisão","Lesão De Trânsito","","","30/04/2011","612","","","",""
"25/03/2011","06:45","Xangri-lá","1553","Estadual","Rodovia","RS 407","12","Colisão Lateral","Homicídio De Trânsito","","","03/04/2011","470","","","",""
"16/02/2011","09:00","Xangri-lá","133","Estadual","Rodovia","RS 389","18","Colisão Lateral","Homicídio De Trânsito","","","16/02/2011","","","","",""
"06/11/2011","HH:MM","Caçapava do Sul","3208","Federal","Rodovia","BR 153","528,3","Capotagem","Encontro De Cadáver","","","","","NÃO INF.","N","N","NÃO INF."
"26/10/2011","13:40","Caçapava do Sul","2692","Municipal","Rua","DR BORGES DE MEDEIROS","819","Colisão","Lesão De Trânsito","","","29/10/2011","30053","NÃO INF.","N","N","NÃO INF."
"21/07/2011","13:45","Caçapava do Sul","1833","Municipal","Estrada","DO LOBATO","","Colisão","Homicídio De Trânsito","","","21/07/2011","","","","",""
"21/07/2011","01:30","Caçapava do Sul","1826","Federal","Rodovia","BR 290","315,7","Colisão","Outros Crimes","","","21/07/2011","1826","","","","S"
"22/04/2011","01:20","Caçapava do Sul","1027","Estadual","Rodovia","RS 357","","Choque Com Objeto Fixo","Lesão Corporal Culposa","","","22/04/2011","5017","","","",""
"12/03/2011","01:30","Cacequi","298","Municipal","Estrada","PRAIA DOS DOURADOS","","Tombamento","Encontro De Cadáver","","","","","NÃO INF.","N","N","NÃO INF."
"09/12/2011","11:40","Cacequi","1652","Estadual","Rodovia","RS 640","21","Atropelamento","Homicídio De Trânsito","","","","","NÃO INF.","NÃO INF.","N","NÃO INF."
"08/12/2011","16:30","Cachoeira do Sul","9612","Federal","Rodovia","BR 153","386","Colisão","Homicídio De Trânsito","","","","","NÃO INF.","NÃO INF.","N","NÃO INF."
"05/11/2011","17:30","Cachoeira do Sul","8731","Municipal","Rua","QUADRA P","10","Atropelamento","Lesão Corporal Seguida De Morte","","","06/11/2011","8731","NÃO INF.","NÃO INF.","N","NÃO INF."
"03/01/2011","12:40","Cachoeira do Sul","71","Federal","Rodovia","BR 290","275,3","Choque Com Objeto Fixo","Homicídio De Trânsito","","","","","NÃO INF.","NÃO INF.","N","NÃO INF."
"03/09/2011","08:50","Cachoeira do Sul","6819","Federal","Rodovia","BR 153","","Capotagem","Homicídio De Trânsito","","","03/09/2011","","","","",""
"13/08/2011","18:40","Cachoeira do Sul","6272","Municipal","Rua","MARCELO GAMA","967","Colisão","Homicídio De Trânsito","","","","","","","",""
"28/05/2011","13:00","Cachoeira do Sul","4121","Federal","Rodovia","BR 153","400,2","Colisão","Homicídio De Trânsito","","","","","","","",""
"11/05/2011","11:40","Cachoeira do Sul","3651","Federal","Rodovia","BR 153","377","Colisão","Lesão De Trânsito","","","18/05/2011","3842","","","",""
"10/04/2011","02:10","Cachoeira do Sul","2801","Federal","Rodovia","BR 153","355,8","Choque Com Objeto Fixo","Homicídio De Trânsito","","","","","","","",""
"23/02/2011","07:00","Cachoeira do Sul","2244","Municipal","Rua","MARQUES RIBEIRO","","Atropelamento","Lesão Corporal Seguida De Morte","","","02/03/2011","","","","",""
"08/01/2011","21:15","Cachoeira do Sul","216","Federal","Rodovia","BR 153","384,6","Colisão","Homicídio De Trânsito","","","","","NÃO INF.","NÃO INF.","N","NÃO INF."
"12/03/2011","13:40","Cachoeira do Sul","2048","Municipal","Rua","MARCELO GAMA","","Colisão","Homicídio De Trânsito","","","","","","","",""
"28/12/2011","19:10","Cachoeirinha","8137","Municipal","Avenida","GENERAL FLORES DA CUNHA","1612","Colisão","Homicídio De Trânsito","","","","","NÃO INF.","N","N","NÃO INF."
"11/10/2011","12:15","Cachoeirinha","6702","Municipal","Rua","FREDERICO RITTER","3410","Colisão","Homicídio De Trânsito","","","","","NÃO INF.","N","N","NÃO INF."
"30/09/2011","22:20","Cachoeirinha","6123","Municipal","Avenida","TANCREDO NEVES","","Colisão","Homicídio De Trânsito","","","","","","","",""
"06/09/2011","21:40","Cachoeirinha","5641","Federal","Rodovia","BR 290","83,4","Atropelamento","Homicídio De Trânsito","","","","","","","",""
"16/08/2011","17:00","Cachoeirinha","5381","Estadual","Rodovia","RS 118","9","Colisão Lateral","Homicídio De Trânsito","","","16/08/2011","","","","",""
"01/08/2011","20:00","Cachoeirinha","5005","Estadual","Rodovia","RS 118","9","Atropelamento","Encontro De Cadáver","","","","","NÃO INF.","NÃO INF.","S","NÃO INF."
"02/05/2011","21:00","Cachoeirinha","2891","Estadual","Rodovia","RS 118","9","Colisão Lateral","Homicídio De Trânsito","","","02/05/2011","","","","",""
"04/04/2011","23:00","Cachoeirinha","201979","Municipal","Avenida","FLORES DA CUNHA","4451","Atropelamento","Lesão De Trânsito","","","05/04/2011","487","","","",""
"12/05/2011","22:30","Cachoeirinha","201715/3212","Municipal","Rua","FREDERICO RITTER","4060","Colisão Lateral","Lesão De Trânsito","","","17/05/2011","596","","","",""
"16/03/2011","19:15","Cachoeirinha","1743","Municipal","Rua","CAPITAO GARIBALDI PINTO DOS SANTOS","1743","Choque Com Objeto Fixo","Homicídio De Trânsito","","","","","","","",""
"04/03/2011","22:30","Cachoeirinha","1441","Municipal","Avenida","TRANCREDO NEVES","1005","Colisão","Homicídio De Trânsito","","","","","","","",""
"20/09/2011","00:30","Cacique Doble","275","Estadual","Rodovia","RS 343","","Capotagem","Homicídio De Trânsito","","","","","","","",""
"20/06/2011","13:20","Cacique Doble","178","Estadual","Rodovia","RS 343","","Choque Com Objeto Fixo","Homicídio De Trânsito","","","20/06/2011","","","","",""
"25/05/2011","18:45","Cacique Doble","149","Estadual","Rodovia","RS 343","34","Colisão","Homicídio De Trânsito","","","25/05/2011","","","","",""
"19/04/2011","08:30","Cacique Doble","114","Estadual","Rodovia","RS 343","","Colisão","Homicídio De Trânsito","","","","","","","",""
"07/02/2011","22:00","Caibaté","50","Federal","Rodovia","BR 285","531","Choque Com Objeto Fixo","Homicídio De Trânsito","","","","","","","",""
"04/01/2011","18:10","Camaquã","86","Municipal","Estrada","CERRO NEGRO","","Colisão Lateral","Homicídio De Trânsito","","","","","NÃO INF.","NÃO INF.","N","S"
"22/10/2011","22:03","Camaquã","8559","Federal","Rodovia","BR 116","379,4","Colisão","Homicídio De Trânsito","","","","","NÃO INF.","N","N","NÃO INF."
"09/10/2011","05:10","Camaquã","8207","Municipal","Avenida","CONEGO LUIZ WALTER HANQUET","","Choque Com Objeto Fixo","Homicídio De Trânsito","","","09/10/2011","","NÃO INF.","N","N","NÃO INF."
"19/08/2011","18:15","Camaquã","6788","Municipal","Rua","BRENO VIELITZ","420","Colisão","Homicídio De Trânsito","","","19/08/2011","","","","",""
"21/01/2011","13:15","Camaquã","594","Municipal","Estrada","LINHA CHACARA VELHA","","Colisão","Homicídio De Trânsito","","","21/01/2011","","","","",""
"07/07/2011","14:30","Camaquã","5418","Federal","Rodovia","BR 116","392,9","Tombamento","Homicídio De Trânsito","","","","","","","",""
"01/07/2011","17:42","Camaquã","5237","Municipal","Rua","CONEGO WALTER HANQUET","800","Colisão","Homicídio De Trânsito","","","01/07/2011","","","","",""
"29/03/2011","12:15","Camaquã","2513","Municipal","Rua","SETE DE SETEMBRO","326","Tombamento","Homicídio De Trânsito","","","29/03/2011","","","","",""
"23/12/2011","06:50","Camaquã","10377","Federal","Rodovia","BR 116","408","Colisão Lateral","Homicídio De Trânsito","","0","","","N","N","N","NÃO INF."
"12/12/2011","23:15","Camaquã","10129","Municipal","Rua","SOLEDADE","1409","Colisão","Homicídio De Trânsito","","","","","NÃO INF.","NÃO INF.","N","NÃO INF."
"27/11/2011","18:20","Camargo","449","Estadual","Rodovia","RS 132","15","Choque Com Objeto Fixo","Homicídio De Trânsito","","","","","NÃO INF.","N","N","NÃO INF."
"02/08/2011","19:30","Cambará do Sul","310","Estadual","Rodovia","RS 020","135","Choque Com Objeto Fixo","Homicídio De Trânsito","","","02/08/2011","","","","",""
"13/05/2011","18:10","Cambará do Sul","246","Estadual","Rodovia","RS 020","160","Capotagem","Homicídio De Trânsito","","","","","","","",""
"27/05/2011","18:00","Cambará do Sul","228","Estadual","Rodovia","RS 020","139","Colisão","Homicídio De Trânsito","","","","","","","",""
"15/08/2011","21:50","Campestre da Serra","6293","Federal","Rodovia","BR 116","82","Outro","Homicídio De Trânsito","","","16/08/2011","","","","",""
"10/04/2011","19:10","Campestre da Serra","2884","Federal","Rodovia","BR 116","66,7","Atropelamento","Homicídio De Trânsito","","","","","","","",""
"09/02/2011","HH:MM","Campina das Missões","1213","Estadual","Rodovia","RS 307","","Não Informado","Homicídio De Trânsito","","","12/02/2011","","","","",""
"13/03/2011","19:50","Campinas do Sul","870147","Municipal","Estrada","VERTENTE BACCIN","3","Tombamento","Lesão De Trânsito","","","20/03/2011","3585","","","",""
"27/12/2011","23:30","Campo Bom","8222","Municipal","Avenida","CARLOS STRASSBURGER FILHO","4007","Colisão","Homicídio De Trânsito","","","27/12/2011","","NÃO INF.","N","N","NÃO INF."
"27/11/2011","17:30","Campo Bom","7607","Estadual","Rodovia","RS 239","18","Colisão Lateral","Homicídio De Trânsito","","","","","NÃO INF.","N","N","NÃO INF."
"15/10/2011","06:30","Campo Bom","6596","Municipal","Avenida","SAO LEOPOLDO","980","Choque Com Objeto Fixo","Homicídio De Trânsito","","","","","NÃO INF.","N","N","NÃO INF."
"03/10/2011","15:45","Campo Bom","6328","Municipal","Avenida","RIO GRANDE DO SUL","390","Colisão Lateral","Homicídio De Trânsito","","","03/10/2011","17823","","","",""
"13/08/2011","06:40","Campo Bom","5138","Municipal","Avenida","DOS MUNICIPIOS","1660","Tombamento","Encontro De Cadáver","","","","5138","","","",""
"05/07/2011","18:30","Campo Bom","4941","Estadual","Rodovia","RS 239","22","Colisão Lateral","Lesão De Trânsito","","","14/07/2011","12442","","","",""
"05/07/2011","16:25","Campo Bom","4937","Municipal","Avenida","DOS MUNICIPIOS","2210","Colisão","Homicídio De Trânsito","","","09/07/2011","12421","","","",""
"19/01/2011","21:57","Campo Bom","390","Municipal","Avenida","DOS MUNICIPIOS","2631","Atropelamento","Homicídio De Trânsito","","","01/02/2011","1835","","","",""
"06/05/2011","06:15","Campo Bom","2859","Estadual","Rodovia","RS 239","19","Colisão","Homicídio De Trânsito","","","06/05/2011","7696","","","",""
"04/05/2011","11:30","Campo Bom","2817","Municipal","Avenida","WILLY REICHERT","46","Colisão","Homicídio De Trânsito","","","","","","","",""
"08/04/2011","23:58","Campo Bom","2226","Municipal","Avenida","GUSTAVO VETTER","472","Tombamento","Homicídio De Trânsito","","","","","","","",""
"13/06/2011","00:00","Campo Bom","10872","Municipal","Avenida","DOS MUNICIPIOS","3355","Atropelamento","Homicídio De Trânsito","","","15/06/2011","","","","",""
"27/08/2011","14:00","Campos Borges","989","Estadual","Rodovia","RS 318","35","Capotagem","Homicídio De Trânsito","","","","","","","",""
"24/04/2011","07:00","Candelária","865","Estadual","Rodovia","RS 400","4","Choque Com Objeto Fixo","Homicídio De Trânsito","","","24/04/2011","581","","","",""
"21/04/2011","18:20","Candelária","861","Estadual","Rodovia","RS 287","139","Colisão","Homicídio De Trânsito","","","","","","","",""
"21/04/2011","14:50","Candelária","860","Estadual","Rodovia","RS 400","7","Choque Com Objeto Fixo","Homicídio De Trânsito","","","","","","","",""
"14/04/2011","06:45","Candelária","804","Estadual","Rodovia","RS 287","152","Colisão","Homicídio De Trânsito","","","","","","","",""
"31/12/2011","11:20","Candelária","2866","Estadual","Rodovia","RS 400","10","Choque Com Objeto Fixo","Lesão De Trânsito","","","","","","","",""
"23/12/2011","13:45","Candelária","2805","Estadual","Rodovia","RS 287","146","Choque Com Objeto Fixo","Lesão De Trânsito","","","26/12/2011","15146","NÃO INF.","N","N","NÃO INF."
"16/12/2011","15:40","Candelária","2750","Estadual","Rodovia","RS 287","147","Capotagem","Homicídio De Trânsito","","","","","NÃO INF.","N","N","NÃO INF."
"29/10/2011","17:00","Candelária","2340","Estadual","Rodovia","RS 410","25","Capotagem","Homicídio De Trânsito","","","","","NÃO INF.","N","N","S"
"20/08/2011","21:45","Candelária","1772","Estadual","Rodovia","RS 410","0","Colisão Lateral","Homicídio De Trânsito","","","20/08/2011","","","","",""
"13/08/2011","23:00","Candelária","1716","Estadual","Rodovia","RS 410","","Choque Com Objeto Fixo","Homicídio De Trânsito","","","13/08/2011","","","","",""
"25/07/2011","08:45","Candelária","1535","Estadual","Rodovia","RS 287","150","Colisão Lateral","Homicídio De Trânsito","","","","","","","",""
"10/07/2011","04:00","Candelária","1430","Estadual","Rodovia","RS 400","2","Choque Com Objeto Fixo","Outros Acidentes","","","","","","","",""
"01/07/2011","11:30","Candelária","1382","Estadual","Rodovia","RS 400","20","Colisão","Homicídio De Trânsito","","","","","","","",""
"29/05/2011","19:00","Candelária","1141","Estadual","Rodovia","RS 287","133","Atropelamento","Homicídio De Trânsito","","","29/05/2011","","","","",""
"28/05/2011","05:30","Candelária","1139","Estadual","Rodovia","RS 287","142","Atropelamento","Homicídio De Trânsito","","","","","","","",""
"27/02/2011","11:30","Cândido Godói","76","Municipal","Estrada","GODOI","","Tombamento","Homicídio De Trânsito","","","","","","","",""
"19/11/2011","11:45","Cândido Godói","358","","","","","Não Informado","Homicídio De Trânsito","","","19/11/2011","","NÃO INF.","N","N","NÃO INF."
"27/11/2011","10:00","Cândido Godói","336","Municipal","Estrada","LINHA SECCAO A","","Capotagem","Homicídio De Trânsito","","","","","NÃO INF.","N","N","NÃO INF."
"13/10/2011","23:00","Cândido Godói","302","Estadual","Rodovia","RS 307","43","Tombamento","Homicídio De Trânsito","","","","","NÃO INF.","N","N","NÃO INF."
"12/07/2011","10:15","Cândido Godói","203","Estadual","Rodovia","RS 307","26","Colisão","Homicídio De Trânsito","","","","","","","",""
"27/11/2011","19:30","Candiota","14419","Municipal","Avenida","MIGUEL ARLINDO CAMARA","","Capotagem","Homicídio De Trânsito","","","06/12/2011","","NÃO INF.","NÃO INF.","N","NÃO INF."
"26/05/2011","18:30","Canela","1982","Municipal","Estrada","LINHA CACADOR","","Tombamento","Falecimento","","","","1982","","","",""
"25/03/2011","20:30","Canguçu","822","Federal","Rodovia","BR 392","130,6","Tombamento","Homicídio De Trânsito","","","28/03/2011","","","","",""
"14/02/2011","08:30","Canguçu","438","Estadual","Rodovia","RS 265","113","Choque Com Objeto Fixo","Encontro De Cadáver","","","","","","","",""
"21/11/2011","20:45","Canguçu","2946","Federal","Rodovia","BR 392","115,9","Atropelamento","Outros Acidentes","","","","","NÃO INF.","S","S","NÃO INF."
"19/10/2011","21:00","Canguçu","26633","Federal","Rodovia","BR 392","112,5","Colisão Lateral","Lesão De Trânsito","","","22/10/2011","26876","NÃO INF.","N","N","NÃO INF."
"15/08/2011","15:35","Canguçu","2073","Federal","Rodovia","BR 392","148,6","Colisão","Lesão De Trânsito","","","15/08/2011","20732","","","",""
"26/05/2011","19:20","Canguçu","13984","Federal","Rodovia","BR 392","122,2","Colisão","Lesão De Trânsito","","","28/05/2011","14099","","","",""
"19/05/2011","12:50","Canguçu","1380","Federal","Rodovia","BR 392","123,3","Colisão","Homicídio De Trânsito","","","","","","","",""
"10/04/2011","23:00","Canguçu","1003","Federal","Rodovia","BR 392","118","Atropelamento","Homicídio De Trânsito","","","","","","","",""
"08/05/2011","13:04","Canoas","9937","Municipal","Rua","A J RENNER","489","Colisão","Homicídio De Trânsito","","","","9937","","","",""
"06/05/2011","18:15","Canoas","9834 / 9826","Federal","Rodovia","BR 116","267,9","Colisão","Homicídio De Trânsito","","","","","","","",""
"30/04/2011","00:48","Canoas","9329","Municipal","Rua","CARAMURU","212","Colisão Lateral","Lesão De Trânsito","","","15/05/2011","10645","","","",""
"21/04/2011","14:35","Canoas","8751","Municipal","Avenida","RIO GRANDE DO SUL","2941","Atropelamento","Lesão De Trânsito","","","21/04/2011","8793","","","",""
"13/04/2011","21:59","Canoas","8189","Municipal","Rua","CAIRU","409","Colisão Lateral","Lesão De Trânsito","","","27/04/2011","9116","","","",""
"19/03/2011","19:28","Canoas","5846","Municipal","Rua","PRIMAVERA","1629","Colisão","Homicídio De Trânsito","","","","","","","","S"
"15/03/2011","19:00","Canoas","5513","Municipal","Avenida","ENGENHEIRO IRINEU DE CARVALHO BRAGA","1576","Atropelamento","Homicídio De Trânsito","","","","","","","",""
"14/03/2011","12:48","Canoas","5380","Municipal","Rua","CAMAQUA","","Colisão Lateral","Homicídio De Trânsito","","","14/03/2011","","","","",""
"05/03/2011","23:15","Canoas","4802","Municipal","Avenida","RIO GRANDE DO SUL","1590","Outro","Homicídio De Trânsito","","","","","","","",""
"07/01/2011","21:40","Canoas","453","Federal","Rodovia","BR 116","261","Colisão","Homicídio De Trânsito","","0","","","N","NÃO INF.","N","NÃO INF."
"27/02/2011","04:20","Canoas","4311","Federal","Rodovia","BR 116","262,4","Colisão","Homicídio De Trânsito","","","","","","","",""
"25/02/2011","06:00","Canoas","4161","Federal","Rodovia","BR 386","445","Atropelamento","Homicídio De Trânsito","","","","","","","",""
"14/12/2011","06:00","Canoas","394","","","","","Tombamento","Falecimento","","","06/01/2012","394","NÃO INF.","N","N","NÃO INF."
"12/09/2011","06:25","Canoas","3589","Municipal","Rua","CAIRU","","Colisão","Lesão De Trânsito","","","12/09/2011","20466","","","",""
"19/11/2011","13:40","Canoas","26205","Municipal","Rua","PIRAPO","137","Colisão","Homicídio De Trânsito","","","22/11/2011","26600","NÃO INF.","N","N","NÃO INF."
"05/02/2011","19:00","Canoas","2563","Municipal","Rua","FARROUPILHA","25","Atropelamento","Homicídio De Trânsito","","","","","","","",""
"05/02/2011","13:35","Canoas","2547","Municipal","Avenida","GETULIO VARGAS","","Choque Com Objeto Fixo","Lesão Corporal","","","05/02/2011","2555","","","",""
"17/10/2011","04:58","Canoas","23297","Federal","Rodovia","BR 116","269","Choque Com Objeto Fixo","Lesão De Trânsito","","","","","NÃO INF.","N","N","NÃO INF."
"02/10/2011","16:50","Canoas","21923","Federal","Rodovia","BR 386","441","Choque Com Objeto Fixo","Homicídio De Trânsito","","","","","","","",""
"18/09/2011","15:15","Canoas","20995","Federal","Rodovia","BR 386","444,7","Colisão","Lesão De Trânsito","","","18/09/2011","21002","","","",""
"01/09/2011","13:40","Canoas","19463","Federal","Rodovia","BR 116","262","Atropelamento","Lesão De Trânsito","","","01/09/2011","19478","","","",""
"18/08/2011","02:45","Canoas","18276","Municipal","Rua","REPUBLICA","1072","Colisão","Homicídio De Trânsito","","","","","","","",""
"09/08/2011","19:00","Canoas","17650","Municipal","Rua","RIO DOS SINOS","110","Colisão Lateral","Lesão De Trânsito","","","01/09/2011","19446","","","",""
"24/07/2011","22:40","Canoas","16464","Municipal","Avenida","NAZARIO","","Choque Com Objeto Fixo","Falecimento","","","","16464","","","",""
"18/07/2011","11:15","Canoas","15797","Municipal","Rua","FARROUPILHA","7678","Colisão","Homicídio De Trânsito","","","","","","","",""
"16/01/2011","07:15","Canoas","1072","Federal","Rodovia","BR 386","445","Capotagem","Lesão Corporal Seguida De Morte","","","","","","","",""
"14/05/2011","18:25","Canoas","10591","Federal","Rodovia","BR 386","444","Colisão","Homicídio De Trânsito","","","","","","","",""
"31/01/2011","10:00","Canoas","1019","Municipal","Avenida","SANTOS FERREIRA","1049","Atropelamento","Lesão De Trânsito","","","23/02/2011","4010","","","",""
"25/07/2011","11:00","Canudos do Vale","7571","Estadual","Rodovia","RS 423","","Tombamento","Homicídio De Trânsito","","","","","","","",""
"27/11/2011","23:20","Capão da Canoa","9316","Estadual","Rodovia","RS 389","26","Capotagem","Homicídio De Trânsito","","","27/11/2011","","NÃO INF.","NÃO INF.","N","NÃO INF."
"24/11/2011","19:20","Capão da Canoa","820673","Municipal","Estrada","CORNELIOS","100","Choque Com Objeto Fixo","Lesão De Trânsito","","","24/11/2011","9254","NÃO INF.","N","N","NÃO INF."
"12/01/2011","16:25","Capão da Canoa","582","Estadual","Rodovia","RS 389","34","Colisão","Homicídio De Trânsito","","","12/01/2011","","NÃO INF.","NÃO INF.","N","NÃO INF."
"12/06/2011","02:00","Capão da Canoa","5301","Municipal","Rua","BENTEVI","3769","Atropelamento","Homicídio De Trânsito","","","12/06/2011","","","","",""
"27/04/2011","19:45","Capão da Canoa","4191","Estadual","Rodovia","RS 389","43","Choque Com Objeto Fixo","Homicídio De Trânsito","","","27/04/2011","","","","",""
"27/04/2011","11:30","Capão da Canoa","4172","Estadual","Rodovia","RS 389","33","Colisão","Homicídio De Trânsito","","","","","","","",""
"25/03/2011","03:40","Capão da Canoa","3460","Municipal","Avenida","PARQUE TRES","","Choque Com Objeto Fixo","Omissão De Socorro","","","04/04/2011","394","","","",""
"25/12/2011","05:40","Capão da Canoa","10179","Estadual","Rodovia","RS 389","45","Choque Com Objeto Fixo","Homicídio De Trânsito","","","","","NÃO INF.","N","N","NÃO INF."
"22/01/2011","01:50","Capão da Canoa","1002","Estadual","Rodovia","RS 389","47","Colisão","Homicídio De Trânsito","","","","","","","",""
"17/03/2011","18:00","Capão do Cipó","1481","Estadual","Rodovia","RS 533","","Colisão","Homicídio De Trânsito","","","","","","","",""
"10/05/2011","14:35","Capão do Leão","692","Federal","Rodovia","BR 293","11,3","Colisão","Homicídio De Trânsito","","","","","","","",""
"04/03/2011","06:01","Capão do Leão","355","Federal","Rodovia","BR 293","","Outro","Homicídio De Trânsito","","","","","","","",""
"22/12/2011","19:05","Capão do Leão","32097","Federal","Rodovia","BR 116","529,6","Colisão Lateral","Lesão De Trânsito","","","22/12/2011","32102","NÃO INF.","N","N","NÃO INF."
"10/09/2011","01:20","Capão do Leão","23112","Federal","Rodovia","BR 293","14,3","Outro","Outros Crimes","","","","","","","",""
"20/07/2011","18:40","Capão do Leão","18680","Municipal","Avenida","NARCISO SILVA","","Atropelamento","Lesão De Trânsito","","","10/08/2011","20256","NÃO INF.","NÃO INF.","N","NÃO INF."
"08/05/2011","04:30","Capão do Leão","12110","Municipal","Avenida","NARCISO SILVA","","Não Informado","Lesão Corporal Culposa","","","10/05/2011","12400","","","",""
"10/09/2011","08:20","Capela de Santana","5865","Estadual","Rodovia","RS 240","27","Colisão","Lesão De Trânsito","","","10/09/2011","20346","","","",""
"17/04/2011","00:50","Capela de Santana","2472","Estadual","Rodovia","RS 240","23","Atropelamento","Homicídio De Trânsito","","","","","","","",""
"21/03/2011","21:30","Capitão","2925","Municipal","Estrada","GERAL","","Capotagem","Homicídio De Trânsito","","","","","NÃO INF.","N","N","NÃO INF."
"17/12/2011","15:50","Capivari do Sul","2416","Estadual","Rodovia","RS 040","53","Atropelamento","Homicídio De Trânsito","","","","","NÃO INF.","N","N","NÃO INF."
"05/11/2011","11:50","Capivari do Sul","172","Estadual","Rodovia","RS 040","55","Colisão Lateral","Homicídio De Trânsito","","","","","NÃO INF.","N","N","NÃO INF."
"31/12/2011","21:15","Capivari do Sul","1","Estadual","Rodovia","RS 040","55","Capotagem","Lesão De Trânsito","","","10/01/2012","46","NÃO INF.","N","N","NÃO INF."
"25/12/2011","21:30","Carazinho","9764","Municipal","Estrada","LINHA PINHEIRO MARCADO","","Choque Com Objeto Fixo","Homicídio De Trânsito","","","","","NÃO INF.","N","N","NÃO INF."
"03/12/2011","22:40","Carazinho","9194","Federal","Rodovia","BR 285","336","Capotagem","Homicídio De Trânsito","","","","","NÃO INF.","NÃO INF.","N","NÃO INF."
"13/11/2011","06:00","Carazinho","8610","Federal","Rodovia","BR 386","152,8","Tombamento","Homicídio De Trânsito","","","","","NÃO INF.","N","N","NÃO INF."
"15/10/2011","01:30","Carazinho","7786","Federal","Rodovia","BR 386","171,1","Atropelamento","Homicídio De Trânsito","","0","","","N","N","N","NÃO INF."
"30/01/2011","17:40","Carazinho","763","Federal","Rodovia","BR 386","197,3","Capotagem","Homicídio De Trânsito","","","","","","","",""
"24/09/2011","22:30","Carazinho","7200","Federal","Rodovia","BR 386","178,8","Colisão","Homicídio De Trânsito","","","26/09/2011","7353","","","",""
